"ATTACHMENTS","إرفاق ملفات"
"Multiple default mode of payment is not allowed","لا يسمح بوضع الدفع الافتراضي المتعدد"
"Loyalty Points Redemption","نقاط الولاء الفداء"
"Appointment Analytics","تحليلات الموعد"
"Blog Subscriber","مدونه المشترك"
"Alternate Number","عدد بديل"
"Maximum Score","الدرجة القصوى"
"Create rules to restrict transactions based on values.","إنشاء قواعد لتقييد المعاملات على أساس القيم."
"Cash Flow Mapping Accounts","حسابات رسم التدفق النقدي"
"Group Roll No","رقم قائمة المجموعة"
"Revision and Revised On","مراجعة وتنقيح"
"Manufacturing Date","تاريخ التصنيع"
"Fee Creation Failed","أخفق إنشاء الرسوم"
"Create Missing Party","إنشاء طرف مفقود"
"Total Budget","الميزانية الإجمالية"
"Leave blank if you make students groups per year","اتركه فارغا إذا جعلت مجموعات الطلاب في السنة"
"If checked, Total no. of Working Days will include holidays, and this will reduce the value of Salary Per Day","إذا تم، المشاركات لا. من أيام عمل وسوف تشمل أيام العطل، وهذا سوف يقلل من قيمة الراتب لكل يوم"
"To allow over receipt / delivery, update ""Over Receipt/Delivery Allowance"" in Stock Settings or the Item.","للسماح بوصول الاستلام / التسليم ، قم بتحديث &quot"
"Apps using current key won't be able to access, are you sure?","التطبيقات التي تستخدم المفتاح الحالي لن تتمكن من الدخول ، هل انت متأكد ؟"
"Prorate","التوزيع"
"Total Advance","إجمالي المقدم"
"Change Template Code","تغيير شفرة القالب"
"The Term End Date cannot be earlier than the Term Start Date. Please correct the dates and try again.","تاريخ نهاية المدة لا يمكن أن يكون أقدم من تاريخ بدء الأجل. يرجى تصحيح التواريخ وحاول مرة أخرى."
"Quot Count","عدد النقاط"
"Bank Statement","كشف حساب بنكى"
"Max Amount Eligible","أقصى مبلغ مؤهل"
"BOM Stock Report","تقرير الأسهم BOM"
"If there is no assigned timeslot, then communication will be handled by this group","إذا لم يكن هناك مهلة زمنية محددة ، فسيتم التعامل مع الاتصالات من قبل هذه المجموعة"
"Quantity Difference","فرق الكمية"
"Basic Rate","السعر الأساسي"
"Credit Amount","مبلغ دائن"
"Electronic Invoice Register","تسجيل الفاتورة الإلكترونية"
"Signatory Position","الوظيفة الموقعة"
"Set as Lost","على النحو المفقودة"
"Total Billable Hours","مجموع الساعات فوترة"
"Number of days that the subscriber has to pay invoices generated by this subscription","عدد الأيام التي يتعين على المشترك دفع الفواتير الناتجة عن هذا الاشتراك"
"Employee Benefit Application Detail","تفاصيل تطبيق استحقاق الموظف"
"Payment Receipt Note","إشعار إيصال الدفع"
"This is based on transactions against this Customer. See timeline below for details","ويستند هذا على المعاملات ضد هذا العميل. انظر الجدول الزمني أدناه للاطلاع على التفاصيل"
"Create Material Request","إنشاء طلب المواد"
"Start and end dates not in a valid Payroll Period, cannot calculate {0}","تواريخ البدء والانتهاء ليست في فترة كشوف رواتب صالحة ، لا يمكن حساب {0}"
"Row {0}: Allocated amount {1} must be less than or equals to Payment Entry amount {2}","صف {0}: يجب أن يكون المبلغ المخصص {1} أقل من أو يساوي مبلغ السند {2}"
"New Academic Term","مصطلح أكاديمي جديد"
"Course wise Assessment Report","تقرير التقييم الحكيم للدورة"
"Customer Feedback Template","قالب ملاحظات العملاء"
"Availed ITC State/UT Tax","استفاد من ضريبة إيتس / ضريبة أوت"
"Tax Rule","القاعدة الضريبية"
"Maintain Same Rate Throughout Sales Cycle","الحفاظ على نفس السعر خلال دورة المبيعات"
"Please login as another user to register on Marketplace","الرجاء تسجيل الدخول كمستخدم آخر للتسجيل في Marketplace"
"Plan time logs outside Workstation Working Hours.","تخطيط سجلات الوقت خارج ساعات العمل محطة العمل."
"Customers in Queue","العملاء في قائمة الانتظار"
"Issuing Date","تاريخ الإصدار"
"Appointment Booked","تم حجز الموعد"
"Nationality","جنسية"
"Configure","تهيئة"
"Submit this Work Order for further processing.","أرسل طلب العمل هذا لمزيد من المعالجة."
"Items To Be Requested","اصناف يمكن طلبه"
"Allow Account Creation Against Child Company","السماح بإنشاء حساب ضد شركة تابعة"
"Company Info","معلومات عن الشركة"
"Select or add new customer","تحديد أو إضافة عميل جديد"
"Cost center is required to book an expense claim","مركز التكلفة مطلوب لتسجيل المطالبة بالنفقات"
"Application of Funds (Assets)","استخدام الاموال (الأصول)"
"This is based on the attendance of this Employee","ويستند هذا على حضور هذا الموظف"
"Payment Request Type","نوع طلب الدفع"
"Mark Attendance","تسجيل الحضور"
"Debit Account","حساب مدين"
"Year Start Date","تاريخ بدء العام"
"Employee Name","اسم الموظف"
"Restaurant Order Entry Item","مطعم دخول الصنف الصنف"
"{0} bank transaction(s) created and {1} errors","{0} تم إنشاء معاملة (معاملات) مصرفية وأخطاء {1}"
"Rounded Total (Company Currency)","المجموع المقرّب (عملة الشركة)"
"Cannot covert to Group because Account Type is selected.","لا يمكن تحويل الحساب إلى تصنيف مجموعة لأن نوع الحساب تم اختياره."
"Max Attempts","الحد الأقصى للمحاولات"
"{0} {1} has been modified. Please refresh.","تم تعديل {0} {1}، يرجى تحديث الصفحة من المتصفح"
"Stop users from making Leave Applications on following days.","وقف المستخدمين من طلب الإجازة في الأيام التالية."
"If unlimited expiry for the Loyalty Points, keep the Expiry Duration empty or 0.","إذا كان انتهاء الصلاحية غير محدود لنقاط الولاء ، فاحتفظ بمدة الصلاحية فارغة أو 0."
"Maintenance Team Members","أعضاء فريق الصيانة"
"Purchase Amount","قيمة الشراء"
"Cannot deliver Serial No {0} of item {1} as it is reserved to fullfill Sales Order {2}","لا يمكن تسليم الرقم التسلسلي {0} من الصنف {1} حيث إنه محجوز لإكمال أمر المبيعات {2}"
"Supplier Quotation {0} created","تم إنشاء عرض سعر المورد {0}"
"End Year cannot be before Start Year","نهاية العام لا يمكن أن يكون قبل بداية العام"
"Employee Benefits","الميزات للموظف"
"Employee ID","هوية الموظف"
"Packed quantity must equal quantity for Item {0} in row {1}","الكمية المعبأة يجب أن تساوي كمية الصنف {0} في الصف {1}"
"Manufactured Qty","الكمية المصنعة"
"The shares don't exist with the {0}","الأسهم غير موجودة مع {0}"
"Select Difference Account","حدد حساب الفرق"
"Sales Partner Type","نوع شريك المبيعات"
"Webhook ID","معرف Webhook"
"Invoice Created","تم إنشاء الفاتورة"
"Out of Order","خارج عن الخدمة"
"Accepted Quantity","الكمية المقبولة"
"Ignore Workstation Time Overlap","تجاهل تداخل وقت محطة العمل"
"Please set a default Holiday List for Employee {0} or Company {1}","يرجى تحديد قائمة العطلات الافتراضية للموظف {0} أو الشركة {1}"
"{0}: {1} does not exists","{0}: {1} غير موجود"
"Select Batch Numbers","حدد أرقام الدفعة"
"To GSTIN","إلى GSTIN"
"Bills raised to Customers.","فواتير حولت للعملاء."
"Invoice Appointments Automatically","فوترة المواعيد تلقائيا"
"Project Id","معرّّف المشروع"
"Variable Based On Taxable Salary","متغير على أساس الخاضع للضريبة"
"Basic Component","المكون الأساسي"
"Row No {0}: Amount cannot be greater than Pending Amount against Expense Claim {1}. Pending Amount is {2}","رقم الصف {0}: لا يمكن أن يكون المبلغ أكبر من المبلغ المعلق مقابل المطالبة بالنفقات {1}. المبلغ المعلق هو {2}"
"Medical Administrator","المدير الطبي"
"Schedule","جدول"
"Parent Account","حساب اب"
"Salary Structure Assignment for Employee already exists","تعيين هيكل الراتب للموظف موجود بالفعل"
"Available","متاح"
"Reading 3","قراءة 3"
"Source Warehouse Address","عنوان مستودع المصدر"
"Voucher Type","نوع السند"
"Future Payments","المدفوعات المستقبلية"
